idx,true_t+1,pred_t+1,true_t+2,pred_t+2,true_t+3,pred_t+3,true_t+4,pred_t+4,true_t+5,pred_t+5,true_t+6,pred_t+6
3105,-3.23,-2.63113,-3.65,-2.41705,-3.03,-2.0345,-3.6,-1.52403,-2.61,-0.989944,-1.23,-0.431564
3106,-3.65,-2.92952,-3.03,-2.54603,-3.6,-1.96222,-2.61,-1.29528,-1.23,-0.674885,0.190001,-0.114529
3107,-3.03,-3.25203,-3.6,-2.75211,-2.61,-2.08555,-1.23,-1.37888,0.190001,-0.791773,0.91,-0.333536
3108,-3.6,-2.58512,-2.61,-1.97353,-1.23,-1.27871,0.190001,-0.63545,0.91,-0.175543,1.59,0.127899
3109,-2.61,-3.11442,-1.23,-2.63217,0.190001,-2.05919,0.91,-1.52001,1.59,-1.13901,2.63,-0.900818
3110,-1.23,-2.07509,0.190001,-1.5665,0.91,-1.08456,1.59,-0.718231,2.63,-0.546404,2.47,-0.480801
3111,0.190001,-0.648565,0.91,-0.150578,1.59,0.211813,2.63,0.40321,2.47,0.402229,2.7,0.252525
3112,0.91,1.02338,1.59,1.53401,2.63,1.81653,2.47,1.89371,2.7,1.72421,1.62,1.4508
3113,1.59,1.82735,2.63,2.20226,2.47,2.33838,2.7,2.23438,1.62,1.94868,0.459999,1.63437
3114,2.63,2.12519,2.47,2.3242,2.7,2.25256,1.62,1.98267,0.459999,1.60603,-0.280001,1.26343
3115,2.47,1.82316,2.7,1.60553,1.62,1.28496,0.459999,0.967278,-0.280001,0.660112,-0.35,0.399105
3116,2.7,1.65822,1.62,1.46087,0.459999,1.19674,-0.280001,0.901978,-0.35,0.559452,-0.139999,0.218365
3117,1.62,1.55499,0.459999,1.26839,-0.280001,0.960768,-0.35,0.643185,-0.139999,0.282089,-0.809999,-0.0782795
3118,0.459999,0.847349,-0.280001,0.521055,-0.35,0.206139,-0.139999,-0.118818,-0.809999,-0.477758,-1.13,-0.821697
3119,-0.280001,-0.0326862,-0.35,-0.428337,-0.139999,-0.78023,-0.809999,-1.10981,-1.13,-1.43622,-1.64,-1.71018
3120,-0.35,-0.821598,-0.139999,-1.31003,-0.809999,-1.70778,-1.13,-2.02348,-1.64,-2.27653,-1.8,-2.44464
3121,-0.139999,-0.937897,-0.809999,-1.36216,-1.13,-1.71288,-1.64,-1.98088,-1.8,-2.17939,-1.09,-2.27662
3122,-0.809999,-0.866066,-1.13,-1.2275,-1.64,-1.52806,-1.8,-1.74875,-1.09,-1.89398,-1.13,-1.9516
3123,-1.13,-1.38174,-1.64,-1.75064,-1.8,-2.02347,-1.09,-2.17486,-1.13,-2.23626,-1.21,-2.20465
3124,-1.64,-1.6745,-1.8,-2.00227,-1.09,-2.20296,-1.13,-2.27446,-1.21,-2.25713,-1.22,-2.15035
3125,-1.8,-2.12639,-1.09,-2.37567,-1.13,-2.49196,-1.21,-2.48117,-1.22,-2.39601,-1.47,-2.21475
3126,-1.09,-2.31135,-1.13,-2.49312,-1.21,-2.54829,-1.22,-2.49208,-1.47,-2.36351,-1.52,-2.11772
3127,-1.13,-1.64258,-1.21,-1.70776,-1.22,-1.71599,-1.47,-1.64614,-1.52,-1.49922,-1.23,-1.22303
3128,-1.21,-1.49146,-1.22,-1.50636,-1.47,-1.45872,-1.52,-1.30344,-1.23,-1.0557,-0.34,-0.664059
3129,-1.22,-1.3668,-1.47,-1.33285,-1.52,-1.2013,-1.23,-0.952726,-0.34,-0.590227,1.08,-0.0922184
3130,-1.47,-1.31453,-1.52,-1.22353,-1.23,-1.00139,-0.34,-0.619074,1.08,-0.125919,2.51,0.456537
3131,-1.52,-1.47338,-1.23,-1.29006,-0.34,-0.913052,1.08,-0.37216,2.51,0.230738,2.43,0.833363
3132,-1.23,-1.28884,-0.34,-0.894953,1.08,-0.333971,2.51,0.309624,2.43,0.895103,2.75,1.36982
3133,-0.34,-0.880066,1.08,-0.369274,2.51,0.248749,2.43,0.855669,2.75,1.31396,2.94,1.58518
3134,1.08,0.144638,2.51,0.743467,2.43,1.33356,2.75,1.81007,2.94,2.06038,2.87,2.07833
3135,2.51,1.57433,2.43,2.16654,2.75,2.62499,2.94,2.88027,2.87,2.85655,2.74,2.63445
3136,2.43,2.6076,2.75,3.08535,2.94,3.34228,2.87,3.33431,2.74,3.06485,2.4,2.65452
3137,2.75,2.46946,2.94,2.60339,2.87,2.55026,2.74,2.31714,2.4,1.92489,1.85,1.50038
3138,2.94,2.10437,2.87,1.89479,2.74,1.57867,2.4,1.19363,1.85,0.766979,1.01,0.393097
3139,2.87,2.28135,2.74,1.94475,2.4,1.51518,1.85,1.05867,1.01,0.599121,-0.0699997,0.20574
3140,2.74,2.09875,2.4,1.62244,1.85,1.12269,1.01,0.655689,-0.0699997,0.209112,-0.860001,-0.157505
3141,2.4,1.82743,1.85,1.3704,1.01,0.918829,-0.0699997,0.494087,-0.860001,0.0861816,-1.34,-0.24367
3142,1.85,1.80041,1.01,1.40842,-0.0699997,1.00839,-0.860001,0.622841,-1.34,0.251698,-1.87,-0.0313148
3143,1.01,1.29612,-0.0699997,0.901064,-0.860001,0.526524,-1.34,0.183699,-1.87,-0.115788,-2.44,-0.305672
3144,-0.0699997,0.499565,-0.860001,0.0270481,-1.34,-0.353432,-1.87,-0.630455,-2.44,-0.81785,-2.54,-0.883808
3145,-0.860001,-0.444685,-1.34,-0.950266,-1.87,-1.28714,-2.44,-1.46428,-2.54,-1.52504,-3.06,-1.4775
3146,-1.34,-1.16751,-1.87,-1.55188,-2.44,-1.75294,-2.54,-1.80652,-3.06,-1.77874,-2.92,-1.68495
3147,-1.87,-1.52297,-2.44,-1.77024,-2.54,-1.85477,-3.06,-1.82398,-2.92,-1.75998,-3.43,-1.64778
3148,-2.44,-1.86252,-2.54,-1.9847,-3.06,-1.98087,-2.92,-1.91689,-3.43,-1.84074,-3.71,-1.69043
3149,-2.54,-2.34782,-3.06,-2.4123,-2.92,-2.36704,-3.43,-2.26341,-3.71,-2.12141,-3.61,-1.85523
3150,-3.06,-2.45742,-2.92,-2.46471,-3.43,-2.37217,-3.71,-2.1972,-3.61,-1.9408,-2.99,-1.52808
3151,-2.92,-2.85964,-3.43,-2.83026,-3.71,-2.6682,-3.61,-2.37053,-2.99,-1.9519,-2.21,-1.36981
3152,-3.43,-2.62053,-3.71,-2.50822,-3.61,-2.23787,-2.99,-1.80815,-2.21,-1.24794,-1.45,-0.558138
3153,-3.71,-2.92122,-3.61,-2.69002,-2.99,-2.24828,-2.21,-1.6244,-1.45,-0.907108,-0.0799999,-0.140697
3154,-3.61,-2.92842,-2.99,-2.49285,-2.21,-1.83993,-1.45,-1.06175,-0.0799999,-0.294531,1.49,0.416784
3155,-2.99,-2.60521,-2.21,-1.95639,-1.45,-1.14303,-0.0799999,-0.298853,1.49,0.428171,2.9,1.00643
3156,-2.21,-1.82243,-1.45,-1.01587,-0.0799999,-0.140982,1.49,0.664625,2.9,1.26815,3.29,1.69671
3157,-1.45,-0.916061,-0.0799999,-0.100571,1.49,0.687187,2.9,1.33552,3.29,1.76831,4.43,2.03609
3158,-0.0799999,-0.182493,1.49,0.491222,2.9,1.07935,3.29,1.52946,4.43,1.78879,4.84,1.89458
3159,1.49,0.969114,2.9,1.50285,3.29,1.91558,4.43,2.19923,4.84,2.29411,4.6,2.21815
3160,2.9,2.28561,3.29,2.79432,4.43,3.09921,4.84,3.20089,4.6,3.06588,4.16,2.74715
3161,3.29,3.35812,4.43,3.72857,4.84,3.8419,4.6,3.71191,4.16,3.33891,3.4,2.81208
3162,4.43,3.76879,4.84,3.85674,4.6,3.71191,4.16,3.36098,3.4,2.81517,2.24,2.17481
3163,4.84,4.33565,4.6,4.20461,4.16,3.83188,3.4,3.28168,2.24,2.59403,1.23,1.88721
3164,4.6,4.61273,4.16,4.22743,3.4,3.65175,2.24,2.96883,1.23,2.21568,0.639999,1.5069
3165,4.16,4.48938,3.4,3.89706,2.24,3.18343,1.23,2.43078,0.639999,1.67172,0.26,1.01483
3166,3.4,3.80439,2.24,3.0938,1.23,2.3449,0.639999,1.62875,0.26,0.968699,-0.99,0.426138
3167,2.24,2.92546,1.23,2.17555,0.639999,1.46703,0.26,0.855047,-0.99,0.324104,-0.68,-0.0966778
3168,1.23,1.93382,0.639999,1.21461,0.26,0.592861,-0.99,0.0858574,-0.68,-0.332211,-1.08,-0.641241
3169,0.639999,0.743874,0.26,0.0774136,-0.99,-0.453356,-0.68,-0.856609,-1.08,-1.15999,-2.09,-1.35085
3170,0.26,0.0862293,-0.99,-0.504953,-0.68,-0.9424,-1.08,-1.24191,-2.09,-1.44627,-3.3,-1.54449
3171,-0.99,-0.22378,-0.68,-0.708323,-1.08,-1.05485,-2.09,-1.28258,-3.3,-1.42856,-2.59,-1.46781
3172,-0.68,-1.29095,-1.08,-1.76405,-2.09,-2.05662,-3.3,-2.19377,-2.59,-2.22163,-3.41,-2.11088
3173,-1.08,-1.0878,-2.09,-1.45172,-3.3,-1.67852,-2.59,-1.76879,-3.41,-1.7384,-4.22,-1.54528
3174,-2.09,-1.38263,-3.3,-1.63682,-2.59,-1.75856,-3.41,-1.72943,-4.22,-1.56976,-4.66,-1.23346
3175,-3.3,-2.29043,-2.59,-2.52315,-3.41,-2.55633,-4.22,-2.38984,-4.66,-2.04952,-3.57,-1.50131
3176,-2.59,-3.39916,-3.41,-3.57133,-4.22,-3.47534,-4.66,-3.11718,-3.57,-2.53806,-2.89,-1.74094
3177,-3.41,-2.58833,-4.22,-2.48075,-4.66,-2.15933,-3.57,-1.61503,-2.89,-0.886251,-1.18,0.00751305
3178,-4.22,-3.03911,-4.66,-2.72168,-3.57,-2.15238,-2.89,-1.36462,-1.18,-0.451149,0.0599995,0.550926
3179,-4.66,-3.53727,-3.57,-3.05531,-2.89,-2.27847,-1.18,-1.31623,0.0599995,-0.302109,1.07,0.712519
3180,-3.57,-3.65723,-2.89,-2.96195,-1.18,-1.97931,0.0599995,-0.862722,1.07,0.212353,2.08,1.15762
3181,-2.89,-2.54806,-1.18,-1.56884,0.0599995,-0.422279,1.07,0.726002,2.08,1.67922,2.61,2.39452
3182,-1.18,-1.67823,0.0599995,-0.648628,1.07,0.44816,2.08,1.43864,2.61,2.15878,2.85,2.58893
3183,0.0599995,0.118935,1.07,1.13734,2.08,2.06062,2.61,2.77183,2.85,3.15665,3.18,3.23626
3184,1.07,1.51172,2.08,2.41559,2.61,3.12969,2.85,3.5815,3.18,3.68829,3.13,3.50293
3185,2.08,2.53309,2.61,3.26741,2.85,3.72125,3.18,3.85689,3.13,3.65282,2.75,3.21675
3186,2.61,3.21717,2.85,3.62524,3.18,3.72453,3.13,3.53683,2.75,3.09246,2.37,2.52371
3187,2.85,3.49233,3.18,3.63526,3.13,3.48547,2.75,3.10067,2.37,2.5337,2.12,1.92164
3188,3.18,3.45425,3.13,3.36556,2.75,3.03062,2.37,2.52807,2.12,1.91153,1.85,1.3084
3189,3.13,3.44875,2.75,3.18361,2.37,2.70938,2.12,2.12017,1.85,1.47812,1.52,0.884882
3190,2.75,3.20602,2.37,2.77822,2.12,2.21715,1.85,1.61827,1.52,1.01984,1.47,0.501642
3191,2.37,2.65146,2.12,2.15549,1.85,1.607,1.52,1.07014,1.47,0.553736,1.17,0.12748
3192,2.12,2.00781,1.85,1.49702,1.52,0.979296,1.47,0.494476,1.17,0.0512104,0.93,-0.311296
3193,1.85,1.65995,1.52,1.16354,1.47,0.691814,1.17,0.279781,0.93,-0.0986576,0.73,-0.428806
3194,1.52,1.40035,1.47,0.910192,1.17,0.470467,0.93,0.0917034,0.73,-0.262112,0.48,-0.559732
3195,1.47,1.03681,1.17,0.615097,0.93,0.232227,0.73,-0.125793,0.48,-0.459557,0.360001,-0.713566
3196,1.17,0.845419,0.93,0.378021,0.73,-0.0488949,0.48,-0.413391,0.360001,-0.709044,0.33,-0.887783
3197,0.93,0.657917,0.73,0.207043,0.48,-0.182919,0.360001,-0.471722,0.33,-0.67276,0.389999,-0.731037
3198,0.73,0.566956,0.48,0.18858,0.360001,-0.124327,0.33,-0.347233,0.389999,-0.469831,0.43,-0.417995
3199,0.48,0.378984,0.360001,0.0488796,0.33,-0.203049,0.389999,-0.334724,0.43,-0.331156,0.43,-0.133158
3200,0.360001,0.0680351,0.33,-0.263277,0.389999,-0.455797,0.43,-0.451904,0.43,-0.265392,0.32,0.110401
3201,0.33,-0.0402813,0.389999,-0.240585,0.43,-0.267101,0.43,-0.0764046,0.32,0.27564,-0.65,0.774076
3202,0.389999,0.0650444,0.43,0.0461884,0.43,0.202833,0.32,0.541086,-0.65,0.996437,-1.37,1.54289
3203,0.43,0.198433,0.43,0.351828,0.32,0.668386,-0.65,1.12437,-1.37,1.63787,-1.55,2.18012
3204,0.43,0.264568,0.32,0.540016,-0.65,0.971443,-1.37,1.49711,-1.55,2.01095,-1.61,2.49484
3205,0.32,0.456343,-0.65,0.863853,-1.37,1.38702,-1.55,1.92916,-1.61,2.38552,-1.28,2.74872
3206,-0.65,0.425816,-1.37,0.850573,-1.55,1.37667,-1.61,1.89411,-1.28,2.28205,-1,2.53691
3207,-1.37,-0.247229,-1.55,0.145363,-1.61,0.656559,-1.28,1.14659,-1,1.48334,-0.82,1.67696
3208,-1.55,-0.831839,-1.61,-0.499966,-1.28,-0.0616264,-1,0.345245,-0.82,0.605492,-0.58,0.7362
3209,-1.61,-1.01934,-1.28,-0.726103,-1,-0.368914,-0.82,-0.0472012,-0.58,0.134163,-0.65,0.209534
3210,-1.28,-1.02251,-1,-0.73329,-0.82,-0.428898,-0.58,-0.184038,-0.65,-0.0727978,-0.639999,-0.0302238
3211,-1,-0.677263,-0.82,-0.404005,-0.58,-0.175791,-0.65,-0.0261726,-0.639999,0.0153542,-0.66,0.0312195
3212,-0.82,-0.453812,-0.58,-0.253021,-0.65,-0.108231,-0.639999,-0.0128403,-0.66,0.0122776,-0.73,0.0345707
3213,-0.58,-0.310108,-0.65,-0.156824,-0.639999,-0.0415974,-0.66,0.046936,-0.73,0.0749779,-0.719999,0.0953884
3214,-0.65,-0.0717831,-0.639999,0.0815411,-0.66,0.198208,-0.73,0.281069,-0.719999,0.289658,-0.809999,0.280033
3215,-0.639999,-0.197556,-0.66,-0.0585308,-0.73,0.054987,-0.719999,0.126915,-0.809999,0.116194,-0.93,0.0793266
3216,-0.66,-0.304592,-0.73,-0.177315,-0.719999,-0.0777302,-0.809999,-0.0250282,-0.93,-0.0609322,-1.06,-0.116501
3217,-0.73,-0.409607,-0.719999,-0.294691,-0.809999,-0.213802,-0.93,-0.185045,-1.06,-0.23982,-1.33,-0.298378
3218,-0.719999,-0.496964,-0.809999,-0.403772,-0.93,-0.348604,-1.06,-0.338894,-1.33,-0.393261,-1.59,-0.428854
3219,-0.809999,-0.589548,-0.93,-0.547043,-1.06,-0.523586,-1.33,-0.516439,-1.59,-0.544096,-1.57,-0.53273
3220,-0.93,-0.792606,-1.06,-0.762856,-1.33,-0.727547,-1.59,-0.685593,-1.57,-0.663445,-1.68,-0.614792
3221,-1.06,-0.980906,-1.33,-0.958664,-1.59,-0.904707,-1.57,-0.826614,-1.68,-0.772039,-1.98,-0.719494
3222,-1.33,-1.14758,-1.59,-1.1167,-1.57,-1.03933,-1.68,-0.940758,-1.98,-0.88427,-2.06,-0.855274
3223,-1.59,-1.4192,-1.57,-1.3673,-1.68,-1.26824,-1.98,-1.16627,-2.06,-1.13426,-1.79,-1.14618
3224,-1.57,-1.67307,-1.68,-1.61439,-1.98,-1.52601,-2.06,-1.4618,-1.79,-1.48163,-1.35,-1.52965
3225,-1.68,-1.70795,-1.98,-1.65629,-2.06,-1.60859,-1.79,-1.60316,-1.35,-1.67322,-0.719999,-1.73996
3226,-1.98,-1.86329,-2.06,-1.86145,-1.79,-1.86862,-1.35,-1.89942,-0.719999,-1.9734,0.0900002,-1.99581
3227,-2.06,-2.21961,-1.79,-2.28339,-1.35,-2.33627,-0.719999,-2.38324,0.0900002,-2.4245,0.0799999,-2.37572
3228,-1.79,-2.45594,-1.35,-2.56863,-0.719999,-2.64505,0.0900002,-2.66644,0.0799999,-2.63602,0.68,-2.50514
3229,-1.35,-2.31809,-0.719999,-2.40343,0.0900002,-2.43368,0.0799999,-2.38057,0.68,-2.27795,1.74,-2.10313
3230,-0.719999,-1.90864,0.0900002,-1.87516,0.0799999,-1.81064,0.68,-1.7058,1.74,-1.59523,2.98,-1.44901
3231,0.0900002,-1.35089,0.0799999,-1.22089,0.68,-1.09452,1.74,-0.973694,2.98,-0.890202,3.53,-0.802458
3232,0.0799999,-0.641184,0.68,-0.466425,1.74,-0.330803,2.98,-0.239185,3.53,-0.214647,2.46,-0.202116
3233,0.68,-0.465828,1.74,-0.324455,2.98,-0.214775,3.53,-0.153151,2.46,-0.167482,1.52,-0.19985
3234,1.74,-0.0638924,2.98,0.0168972,3.53,0.061739,2.46,0.0585155,1.52,-0.0167332,0.52,-0.102686
3235,2.98,0.932274,3.53,1.01714,2.46,1.01391,1.52,0.934603,0.52,0.773504,0.32,0.598915
3236,3.53,2.20777,2.46,2.27486,1.52,2.20357,0.52,2.02744,0.32,1.7573,0.700001,1.47718
3237,2.46,3.10252,1.52,3.03702,0.52,2.84969,0.32,2.5794,0.700001,2.23817,1.46,1.90251
3238,1.52,2.70374,0.52,2.46021,0.32,2.18209,0.700001,1.88888,1.46,1.57146,1.3,1.28188
3239,0.52,1.60877,0.32,1.28127,0.700001,0.995693,1.46,0.751364,1.3,0.512623,1.72,0.307226
3240,0.32,0.500135,0.700001,0.14571,1.46,-0.1112,1.3,-0.29921,1.72,-0.482456,2.06,-0.633863
3241,0.700001,0.20772,1.46,-0.0768852,1.3,-0.2831,1.72,-0.454515,2.06,-0.641191,2.6,-0.79348
3242,1.46,0.708475,1.3,0.528873,1.72,0.351194,2.06,0.161243,2.6,-0.0492077,2.53,-0.210155
3243,1.3,1.6968,1.72,1.59307,2.06,1.41836,2.6,1.2034,2.53,0.976574,2.67,0.817863
3244,1.72,1.98383,2.06,1.84487,2.6,1.65629,2.53,1.46512,2.67,1.29681,3.02,1.21007
3245,2.06,2.35842,2.6,2.18264,2.53,1.98817,2.67,1.8272,3.02,1.70608,2.64,1.66549
3246,2.6,2.63322,2.53,2.50761,2.67,2.37197,3.02,2.26672,2.64,2.17638,2.99,2.12929
3247,2.53,3.15665,2.67,3.09064,3.02,2.98508,2.64,2.86954,2.99,2.72783,3.74,2.61865
3248,2.67,3.27303,3.02,3.18687,2.64,3.06436,2.99,2.92717,3.74,2.77177,4.12,2.6683
3249,3.02,3.49012,2.64,3.39907,2.99,3.26331,3.74,3.11801,4.12,2.97966,4.83,2.93366
3250,2.64,3.84623,2.99,3.79918,3.74,3.69646,4.12,3.58981,4.83,3.51431,5,3.56822
3251,2.99,3.63873,3.74,3.58792,4.12,3.52881,4.83,3.5056,5,3.54628,5.68,3.7291
3252,3.74,3.91822,4.12,3.90368,4.83,3.91055,5,3.98756,5.68,4.13201,5.33,4.36915
3253,4.12,4.68529,4.83,4.76842,5,4.87148,5.68,5.02991,5.33,5.20492,6.46,5.36298
3254,4.83,5.19279,5,5.35662,5.68,5.54894,5.33,5.75728,6.46,5.87912,6.66,5.86916
3255,5,5.96593,5.68,6.23527,5.33,6.4698,6.46,6.60578,6.66,6.53702,5.32,6.26616
3256,5.68,6.32118,5.33,6.63959,6.46,6.84883,6.66,6.86296,5.32,6.60326,5.37,6.15072
3257,5.33,6.89885,6.46,7.16604,6.66,7.24443,5.32,7.07037,5.37,6.62764,4.61,6.08342
3258,6.46,6.55503,6.66,6.57383,5.32,6.40726,5.37,6.04447,4.61,5.53816,3.8,5.06745
3259,6.66,7.29101,5.32,7.0828,5.37,6.67666,4.61,6.16304,3.8,5.64019,3.45,5.24817
3260,5.32,7.41407,5.37,7.03453,4.61,6.54242,3.8,6.07259,3.45,5.67838,2.83,5.43129
3261,5.37,6.09583,4.61,5.64485,3.8,5.22962,3.45,4.91506,2.83,4.69265,2.13,4.59519
3262,4.61,5.72649,3.8,5.37582,3.45,5.09323,2.83,4.9113,2.13,4.80373,1.75,4.76939
3263,3.8,4.78554,3.45,4.51355,2.83,4.36002,2.13,4.30963,1.75,4.27822,1.66,4.27258
3264,3.45,3.84488,2.83,3.62386,2.13,3.55203,1.75,3.5466,1.66,3.53403,1.45,3.54289
3265,2.83,3.28399,2.13,3.05691,1.75,2.96771,1.66,2.95267,1.45,2.95574,1.18,3.00245
3266,2.13,2.55042,1.75,2.32739,1.66,2.25669,1.45,2.28316,1.18,2.34326,1.61,2.45173
3267,1.75,1.81414,1.66,1.64483,1.45,1.63531,1.18,1.71696,1.61,1.81573,2.98,1.96938
3268,1.66,1.423,1.45,1.29667,1.18,1.31501,1.61,1.4098,2.98,1.53749,2.73,1.75747
3269,1.45,1.34393,1.18,1.29704,1.61,1.37704,2.98,1.53537,2.73,1.73217,2.54,2.00293
3270,1.18,1.1947,1.61,1.21104,2.98,1.34711,2.73,1.57176,2.54,1.824,2.61,2.15561
3271,1.61,0.950899,2.98,1.02254,2.73,1.22295,2.54,1.49869,2.61,1.81271,2.6,2.19915
3272,2.98,1.49246,2.73,1.657,2.54,1.91163,2.61,2.23075,2.6,2.55861,2.88,2.93028
3273,2.73,2.94024,2.54,3.29168,2.61,3.65182,2.6,3.99497,2.88,4.27067,3.54,4.5484
3274,2.54,2.94025,2.61,3.3607,2.6,3.78755,2.88,4.15941,3.54,4.43327,4.07,4.67922
3275,2.61,2.76202,2.6,3.0849,2.88,3.45199,3.54,3.79181,4.07,4.04144,4.47,4.26227
3276,2.6,2.61958,2.88,2.86964,3.54,3.19077,4.07,3.50844,4.47,3.7529,4.45,3.93337
3277,2.88,2.54183,3.54,2.80762,4.07,3.13653,4.47,3.4565,4.45,3.64695,4.72,3.7302
3278,3.54,2.75952,4.07,3.00621,4.47,3.2794,4.45,3.4809,4.72,3.53093,4.84,3.45531
3279,4.07,3.34435,4.47,3.61112,4.45,3.81766,4.72,3.90875,4.84,3.82157,5.12,3.5992
3280,4.47,3.7884,4.45,3.94861,4.72,4.02756,4.84,3.99413,5.12,3.79491,4.78,3.50604
3281,4.45,4.09793,4.72,4.15834,4.84,4.08036,5.12,3.8497,4.78,3.49223,3.29,3.10094
3282,4.72,3.92208,4.84,3.67057,5.12,3.33814,4.78,2.96944,3.29,2.57247,2.48,2.2067
3283,4.84,4.00488,5.12,3.63724,4.78,3.23682,3.29,2.84733,2.48,2.44908,1.57,2.09533
3284,5.12,4.11266,4.78,3.78121,3.29,3.39086,2.48,2.96197,1.57,2.50562,0.25,2.09718
3285,4.78,4.10045,3.29,3.64784,2.48,3.16246,1.57,2.68474,0.25,2.22344,-0.370001,1.84664
3286,3.29,4.05287,2.48,3.5454,1.57,3.03385,0.25,2.562,-0.370001,2.14001,-1.11,1.84811
3287,2.48,2.77548,1.57,2.20378,0.25,1.71681,-0.370001,1.32703,-1.11,1.0374,-1.5,0.904594
3288,1.57,1.66385,0.25,1.05624,-0.370001,0.607225,-1.11,0.324274,-1.5,0.186115,-2,0.209616
3289,0.25,0.766026,-0.370001,0.241539,-1.11,-0.0771675,-1.5,-0.196711,-2,-0.178631,-2.14,-0.0297031
3290,-0.370001,-0.442797,-1.11,-0.857546,-1.5,-1.0208,-2,-0.990191,-2.14,-0.846762,-1.85,-0.596001
3291,-1.11,-1.06588,-1.5,-1.34191,-2,-1.38043,-2.14,-1.24712,-1.85,-1.01704,-1.35,-0.69986
3292,-1.5,-1.74513,-2,-1.86933,-2.14,-1.7705,-1.85,-1.51241,-1.35,-1.19036,-1.67,-0.819372
3293,-2,-1.89308,-2.14,-1.82646,-1.85,-1.57346,-1.35,-1.21467,-1.67,-0.862049,-1.6,-0.478456
3294,-2.14,-2.08412,-1.85,-1.88267,-1.35,-1.53965,-1.67,-1.15523,-1.6,-0.794897,-1.97,-0.374712
3295,-1.85,-2.02882,-1.35,-1.75414,-1.67,-1.37305,-1.6,-0.95937,-1.97,-0.548759,-0.49,-0.0635643
3296,-1.35,-1.73814,-1.67,-1.48835,-1.6,-1.11947,-1.97,-0.661556,-0.49,-0.179871,1.66,0.368095
3297,-1.67,-0.985216,-1.6,-0.587187,-1.97,-0.104465,-0.49,0.419662,1.66,0.921686,3.71,1.44694
3298,-1.6,-1.03188,-1.97,-0.551758,-0.49,0.030941,1.66,0.642479,3.71,1.19881,5.17,1.73202
3299,-1.97,-0.786491,-0.49,-0.230034,1.66,0.420748,3.71,1.07507,5.17,1.63684,5.54,2.14324
3300,-0.49,-1.07332,1.66,-0.461992,3.71,0.24621,5.17,0.942093,5.54,1.51878,6.14,1.9961
3301,1.66,0.48003,3.71,1.20012,5.17,1.89327,5.54,2.49047,6.14,2.90664,6.68,3.18136
3302,3.71,2.81481,5.17,3.62033,5.54,4.25154,6.14,4.68381,6.68,4.86929,6.78,4.85017
3303,5.17,5.07831,5.54,5.86268,6.14,6.35619,6.68,6.56786,6.78,6.47163,6.21,6.13184
3304,5.54,6.09428,6.14,6.63287,6.68,6.88196,6.78,6.84287,6.21,6.5008,5.78,5.93002
3305,6.14,6.10081,6.68,6.29939,6.78,6.25497,6.21,5.96431,5.78,5.41776,5.3,4.69453
3306,6.68,6.39107,6.78,6.28857,6.21,5.95893,5.78,5.42651,5.3,4.69077,5.14,3.86713
3307,6.78,6.5438,6.21,6.19446,5.78,5.61811,5.3,4.85941,5.14,3.95822,4.9,3.05174
3308,6.21,6.94472,5.78,6.34931,5.3,5.55054,5.14,4.6353,4.9,3.65871,4.81,2.75695
3309,5.78,6.23541,5.3,5.41292,5.14,4.49971,4.9,3.58223,4.81,2.70628,4.69,1.96901
3310,5.3,5.68749,5.14,4.83069,4.9,3.92746,4.81,3.07009,4.69,2.31796,4.1,1.74566
3311,5.14,5.01546,4.9,4.12678,4.81,3.27516,4.69,2.55412,4.1,1.9794,3.74,1.57766
3312,4.9,4.67342,4.81,3.85528,4.69,3.1194,4.1,2.53096,3.74,2.07875,3.36,1.77477
3313,4.81,4.48406,4.69,3.77454,4.1,3.16937,3.74,2.70755,3.36,2.36285,3.53,2.121
3314,4.69,4.3672,4.1,3.71489,3.74,3.17847,3.36,2.79344,3.53,2.51222,3.55,2.3131
3315,4.1,4.39437,3.74,3.80434,3.36,3.3273,3.53,2.99188,3.55,2.7467,3.84,2.59413
3316,3.74,3.94714,3.36,3.38175,3.53,2.9481,3.55,2.66157,3.84,2.474,3.53,2.41699
3317,3.36,3.59996,3.53,3.10219,3.55,2.73417,3.84,2.51068,3.53,2.40618,3.66,2.4843
3318,3.53,3.26405,3.55,2.84182,3.84,2.55029,3.53,2.42072,3.66,2.45626,3.67,2.71494
3319,3.55,3.40704,3.84,3.06489,3.53,2.85419,3.66,2.84316,3.67,3.03344,3.92,3.46009
3320,3.84,3.45091,3.53,3.18973,3.66,3.09845,3.67,3.24909,3.92,3.63066,4.13,4.22433
3321,3.53,3.74254,3.66,3.65873,3.67,3.76405,3.92,4.1182,4.13,4.6635,5.69,5.33681
3322,3.66,3.50967,3.67,3.59389,3.92,3.91046,4.13,4.45862,5.69,5.11893,6.42,5.79679
3323,3.67,3.88457,3.92,4.23114,4.13,4.75284,5.69,5.37378,6.42,5.95533,8.25,6.44366
3324,3.92,4.03625,4.13,4.52677,5.69,5.13799,6.42,5.74453,8.25,6.2009,8.49,6.4949
3325,4.13,4.31947,5.69,4.86857,6.42,5.45442,8.25,5.93057,8.49,6.18267,9.17,6.25181
3326,5.69,4.44948,6.42,4.94824,8.25,5.42596,8.49,5.75241,9.17,5.83638,9.05,5.73828
3327,6.42,5.91801,8.25,6.36749,8.49,6.67163,9.17,6.77088,9.05,6.62152,7.99,6.32652
